CustomerID,CustomerName,Region,SignupDate,Quantity,TotalValue,Cluster
C0001,Lawrence Carroll,South America,2022-07-10,12.0,3354.5200000000004,1
C0002,Elizabeth Lutz,Asia,2022-02-13,10.0,1862.74,1
C0003,Michael Rivera,South America,2024-03-07,14.0,2725.38,1
C0004,Kathleen Rodriguez,South America,2022-10-09,23.0,5354.88,3
C0005,Laura Weber,Asia,2022-08-15,7.0,2034.24,1
C0006,Brittany Palmer,South America,2024-01-07,12.0,4227.57,3
C0007,Paul Graves,Asia,2022-06-18,8.0,2579.8199999999997,1
C0008,David Li,North America,2024-01-13,20.0,4271.61,3
C0009,Joy Clark,Europe,2023-08-14,3.0,896.5,2
C0010,Aaron Cox,Europe,2022-12-15,12.0,1717.5500000000002,2
C0011,Bryan Mathews,South America,2022-12-12,13.0,3730.0,3
C0012,Kevin May,South America,2024-08-07,19.0,5231.259999999999,3
C0013,Lauren Buchanan,South America,2024-05-19,18.0,6000.56,0
C0014,Deborah Wilcox,Europe,2024-06-22,2.0,318.66,2
C0015,Tina Duran,North America,2023-11-20,4.0,1157.48,2
C0016,Emily Woods,North America,2024-01-03,10.0,3874.42,3
C0017,Jennifer King,Europe,2023-12-05,21.0,4753.82,3
C0018,Tyler Haynes,North America,2024-09-21,18.0,4781.85,3
C0019,Brandon Rodriguez,Europe,2023-01-12,11.0,2185.8199999999997,1
C0020,Mr. Manuel Conway,North America,2024-06-11,3.0,922.41,2
C0021,Robert Blanchard,Asia,2023-04-17,17.0,5419.92,3
C0022,Teresa Esparza,Asia,2023-10-27,15.0,4655.07,3
C0023,Nicholas Cain,Europe,2022-03-04,14.0,5158.65,3
C0024,Michele Cooley,North America,2024-02-05,14.0,3627.02,3
C0025,Gregory Odom,South America,2022-07-04,8.0,1589.81,2
C0026,Sara Miller,North America,2024-05-03,12.0,3549.05,1
C0027,Justin Heath,Asia,2022-11-09,12.0,2562.94,1
C0028,Jennifer Pena,Asia,2024-06-29,24.0,6819.57,0
C0029,Erin Manning,North America,2022-04-16,10.0,1785.8700000000001,2
C0030,Mark Brock,North America,2024-01-30,13.0,2549.6800000000003,1
C0031,Tina Miller,South America,2024-04-11,10.0,2005.38,1
C0032,Dustin Campbell,South America,2024-04-17,5.0,673.0,2
C0033,Tyler Holt,North America,2024-08-04,2.0,132.64,2
C0034,Dalton Perez,North America,2023-09-27,17.0,3073.2000000000003,1
C0035,Brianna Richardson,North America,2024-10-01,10.0,2587.61,1
C0036,Brian Aguilar DDS,North America,2024-07-06,8.0,1877.96,1
C0037,Linda Smith,Europe,2023-02-04,14.0,4252.77,3
C0038,Jeffrey Perkins,North America,2022-04-16,13.0,2696.85,1
C0039,Angela Harris,South America,2024-10-13,18.0,4239.6,3
C0040,Michael Harrell,Asia,2022-03-07,10.0,3969.3999999999996,3
C0041,Lindsey Deleon,Europe,2023-12-27,23.0,6149.78,0
C0042,Heather Riley,North America,2023-03-15,6.0,2402.49,1
C0043,Sandy Short MD,Asia,2023-02-05,6.0,1131.3200000000002,2
C0044,Kenneth Alexander,Europe,2024-07-10,7.0,3230.1099999999997,1
